"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126"
"sample","genus","species","con_G15","con_G31","con_G43","G001","G002","G003","G004","G005","G006","G007","G008","G009","G010","G011","G012","G013","G014","G015","G016","G017","G018","G019","G020","G021","G022","G023","G024","G025","G026","G027","G028","G029","G030","G031","G032","G033","G034","G035","G036","G037","G038","G039","G040","G041","G042","G043","G044","G045","G046","G047","G048","G049","G050","G051","G053","G054","G055","G056","G057","G062","G063","G064","G065","G066","G067","G068","G069","G070","G071","G072","G073","G074","G075","G076","G077","G078","G099","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G125","G126","G127","G128","G129","G134","G135","G136","G137","G138","G139","G163","G164","G165","G166","G169","G170","G186","G187","G188","G189","G190","G191"
"Euthynnus affinis 1","Euthynnus","Euthynnus affinis","0","   0"," 0","    0","    0","    0","   0","   0","    0"," 76","0","    0","    0","  0","  0","   0","  0"," 0"," 0","0","    0","   0","    0","    0","  0","  0","378","    0","    0","    0","0","  0","  0","0","0"," 0","0"," 0","    0","0","   0","    0","0"," 0","   0","0","0","   0","  0","    0","0","0","    0","0","    0","    0"," 0"," 0","0","    0","  0","  0","0","  0","    0","  0","    0"," 0","  0","    0"," 0","    0","  0","0","0","0","0"," 0","0","  0"," 0","    0","0","0","   0","   0","0","   0"," 0","   0","   0","   0","    0","0","0","0","  0","    0","0"," 0"," 0","0"," 0","0","0","0","0","  0","0","   0"," 0","   0","0","   0","  0","0","   0","0","  0"," 0"," 0","0","0","  0"
"Scarus ghobban 1","Scarus","Scarus ghobban","0","   0"," 0","    0","    0","  104","   0","   0","    0","  0","0","    0","    0","  0","  0","   0","  0"," 0"," 0","0","    0","   0","    0","    0","  0","  0","  0","    0","    0","    0","0","  0","  0","0","0"," 0","0"," 0","    0","0","   0","    0","0"," 0","   0","0","0","   0","  0","    0","0","0","    0","0","    0","    0"," 0"," 0","0","    0","  0","  0","0","  0","    0","  0","    0"," 0","  0","    0"," 0","    1","  0","0","0","0","0"," 0","0","  0"," 0","    0","0","0","   0","   0","0","   0"," 0","   0","   0","   0","    0","0","0","0","  0","    0","0"," 0"," 0","0"," 0","0","0","0","0","  0","0","   0"," 0","   0","0","   0","  0","0","   0","0","  0"," 0","12","0","0","  0"
"Anisotremus scapularis 1","Anisotremus","Anisotremus scapularis","0","   0"," 0","    0","    0","    0","   0","   0","   59"," 22","0","    0","    0","  0","  0","   0","  0"," 0"," 0","0","    0","   0","    0","    0","  0","  0","  0","    0","    0","    0","0","  0","  0","0","0"," 0","0"," 0","    0","0","   0","    0","0"," 0","   0","0","0","   0","  0","    0","0","0","    0","0","    0","    0"," 0"," 0","0","    0","  0","  0","0","  0","    0","  0","    0"," 0","  0","    0"," 0","    0","  0","0","0","0","0"," 0","0","  0"," 0","    0","0","0","   0","   0","0","   0"," 0","   0","   0","   0","    0","0","0","0","  0","    0","0"," 0"," 0","0"," 0","0","0","0","0","  0","0","   0"," 0","   0","0","   0","  0","0","   0","0","  0"," 0"," 0","0","0","  0"
"Muraena lentiginosa 1","Muraena","Muraena lentiginosa","0","   0"," 0","    0","    0","    0","   0","   0","    0"," 94","0","    0","    0","105","  0","   0","  0"," 0"," 0","0","    0","   0","    0","    0","  0","  0","  0","    0","    0","    0","0","  0","  0","0","0"," 0","0"," 0","    0","0","   0","    0","0"," 0","   0","0","0","   0","  0","    0","0","0","    0","0","    0","    0"," 0"," 0","0","    0","  0","  0","0","885","    0","  0","    0"," 0","  0","    0"," 0","    0","  0","0","0","0","0"," 0","0","  0"," 0","    0","0","0","   0","   0","0","   0"," 0","   0","   0","   0","    0","0","0","0","  0","    0","0"," 0"," 0","0"," 0","0","0","0","0","  0","0","   0"," 0","   0","0","   0","  0","0","   0","0","  0"," 0"," 0","0","0","  0"
"Caranx crysos 1","Caranx","Caranx crysos","0","   0"," 0","    0","    0","    0","   0","   0","    0","  0","0","    0","    0","  0","  0","   0","  0"," 0"," 0","0","    0","   0","    0","    0","  0","  0","  0","    0","    0","    0","0","  0","  0","0","0"," 0","0"," 0","    0","0","   0","    0","0"," 0","   0","0","0","   0","  0","    0","0","0","    0","0","    0","    0"," 0"," 0","0","    0","  0","  0","0","  0","    0","  0","    0"," 0","  0","    0","45","    0","  0","0","0","0","0"," 0","0","  0"," 0","    0","0","0","   0","   0","0","   0"," 0","   0","   0","   0","    0","0","0","0","  0","    0","0"," 0"," 0","0"," 0","0","0","0","0","  0","0","   0"," 0","   0","0","   0","  0","0","   0","0","  0"," 0"," 0","0","0","  0"
"Lutjanus genus 1","Lutjanus","Lutjanus genus","0","   0"," 0","    0","    0","    0","   0","   0","    0","  0","0","   43","    0","  0","  0","   0","  0"," 0"," 0","0","    0","   0","    0","    0","  0","  0","  0","    0","    0","    0","0","  0","  0","0","0"," 0","0"," 0","    0","0","   0","    0","0"," 0","   0","0","0","   0","  0","    0","0","0","    0","0","    0","    0"," 0"," 0","0","    0","  0","  0","0","  0","    0","  0","    0"," 0","  0","    0"," 0","    0","  0","0","0","0","0"," 0","0","  0"," 0","    0","0","0","   0","   0","0","   0"," 0","   0","   0","   0","    0","0","0","0","  0","    0","0"," 0"," 0","0"," 0","0","0","0","0","  0","0","   0"," 0","   0","0","   0","  0","0","   0","0","  0"," 0"," 0","0","0","  0"
"Teleophrys cristulipes 1","Teleophrys","Teleophrys cristulipes","0","   0"," 0","    0","    0","    0","   0","   0","    0","  0","0","    0","    0","  0","  0","   0","  0"," 0"," 0","0","    0","   0","    0","    0","  0","  0","  0","    0","    0","    0","0","  0","  0","0","0"," 0","0"," 0","    0","0","   0","    0","0"," 0","   0","0","0","2284","  0","    0","0","0","    0","0","    0","    0"," 0"," 0","0","    0","  0","  0","0","  0","    0","  0","    0"," 0","  0","    0"," 0","    0","  0","0","0","0","0"," 0","0","  0"," 0"," 3211","0","0","   0","   0","0","   0"," 0","   0","   0","   0","    0","0","0","0","  0","    0","0"," 0"," 0","0"," 0","0","0","0","0","  0","0","   0"," 0","   0","0","   0","  0","0","   0","0","  0"," 0"," 0","0","0","  0"
"Grapsus grapsus 1","Grapsus","Grapsus grapsus","0","   0"," 0","    0","    0","    0","   0","   0","    0","  0","0","    0","    0","  0","  0","   0","  0"," 0"," 0","0","    0","   0","    0","    0","  0","  0","  0","    0","    0","    0","0","  0","  0","0","0"," 0","0"," 0","    0","0","   0","    0","0"," 0","   0","0","0"," 272","  0","    0","0","0","    0","0","    0","    0"," 0"," 0","0","    0","  0","  0","0","  0","    0","  0","    0"," 0","  0","    0"," 0","    0","  0","0","0","0","0"," 0","0","  0"," 0","    0","0","0","   0","   0","0","   0"," 0","   0","   0","   0","    0","0","0","0","  0","    0","0"," 0"," 0","0"," 0","0","0","0","0","  0","0","   0"," 0","   0","0","   0","  0","0","   0","0","  0"," 0"," 0","0","0","  0"
"Pachygrapsus socius 1","Pachygrapsus","Pachygrapsus socius","0","   0"," 0","    0","    0","    0","   0","   0","    0","  0","0","    0","    0","  0","  0","   0","  0"," 0"," 0","0","    0","   0","    0","    0","  0","  0","  0","    0","    0","    0","0","  0","  0","0","0"," 0","0"," 0","    0","0","   0","    0","0"," 0","   0","0","0","   0","  0","    0","0","0","    0","0","    0","    0"," 0"," 0","0","    0","  0","172","0","  0","    0","  0","    0"," 0","  0","    0"," 0","    0","  0","0","0","0","0"," 0","0","  0"," 0","    0","0","0","   0","   0","0","   0"," 0","   0","   0","   0","    0","0","0","0","  0","    0","0"," 0"," 0","0"," 0","0","0","0","0","  0","0","   0"," 0","   0","0","   0","  0","0","   0","0","  0"," 0"," 0","0","0","  0"
"Amphipholis squamata 1","Amphipholis","Amphipholis squamata","0","   0"," 0","    0","    0","    0","   0","   0","    0","  0","0","    0","    0","  0","  0","   0","  0"," 0"," 0","0","    0","   0","    0","    0","  0","  0","  0","    0","    0","    0","0","  0","  0","0","0"," 0","0"," 0","    0","0","   0","    0","0"," 0","   0","0","0","   0","  0","    0","0","0","    0","0","    0","    0"," 0"," 0","0","    0","  0","595","0","  0","    0","  0","    0"," 0","  0","    0"," 0","    0","  0","0","0","0","0"," 0","0","  0"," 0","    0","0","0","   0","   0","0","   0"," 0","   0","   0","   0","    0","0","0","0","  0","    0","0"," 0"," 0","0"," 0","0","0","0","0","  0","0","   0"," 0","   0","0","   0","  0","0","   0","0","  0"," 0"," 0","0","0","  0"
